Application Id,Application Number,Office,Application Date,Publication Number,Publication Date,Grant Number,Grant Date,Publication Kind,Applicants,IPC,CPC,Inventors,Agents,Address Picture 2,Title,Abstract,Priority Data,Related Patent Documents,International Application No.,International Filing Date,Publication Language,Filing Language,Designated States,Chapter 2 Demand Filed,FI,F-term
CN397762126,202210812008,China,11.07.2022,116024255,28.04.2023,116024255,19.03.2024,B,NANJING AGRICULTURAL UNIVERSITY南京农业大学,"C12N 15/84
					






C12N 15/54
					






A01H 5/00
					






A01H 6/14
					






A01H 4/00
					








C12N 15/84
					






C12N 15/54
					






A01H 5/00
					






A01H 6/14
					






A01H 4/00
					






View less classifications",,SONG AIPING宋爱萍ZHANG JIALI张佳丽WANG ZHENXING王振兴YUAN YE袁叶CI HUITING慈惠婷FANG WEIMIN房伟民CHEN FADI陈发棣,南京苏高专利商标事务所(普通合伙) 32204,,(EN) Method for improving gene editing efficiency of chrysanthemum plant by utilizing adventitious bud in-vitro regeneration(ZH) 一种利用不定芽体外再生提高菊属植物基因编辑效率的方法,"(EN) The invention discloses a method for improving the gene editing efficiency of a chrysanthemum plant by using adventitious bud in-vitro regeneration, which comprises the following steps: carrying out adventitious bud regeneration culture on leaf discs of young leaves of a CRISPR/Cas9 gene edited chrysanthemum plant to obtain adventitious buds, cutting off the adventitious buds, inoculating the adventitious buds to a rooting culture medium, and carrying out rooting culture to obtain a regenerated plant. According to the method, the carrier containing the editing CsDRM1 gene is constructed, a leaf disc conversion method is used for obtaining a gene editing plant, then an adventitious bud in-vitro regeneration mode is used for improving the gene editing efficiency from less than or equal to 50% to 100%, the method has the advantages of being simple to operate, remarkable in effect and the like, a new method is provided for gene editing development, and the method is worthy of popularization and application. The method has high practicability and scientific research application value.(ZH) 本发明公开了一种利用不定芽体外再生提高菊属植物基因编辑效率的方法，包括以下步骤：将CRISPR/Cas9基因编辑菊属植物的幼叶的叶盘经过不定芽再生培养获得不定芽，再将不定芽切下接种到生根培养基上进行生根培养得到再生植株。本发明通过构建含有编辑CsDRM1基因的载体，利用叶盘转化法获得基因编辑植株，再利用不定芽体外再生的方式将基因编辑效率从≤50％提升至100％，此方法具有操作简单，效果显著等优点，为基因编辑发展提供新方法，具有较高的实用性和科研应用价值。",,,,,,,,,,
CN399863074,202211733524,China,30.12.2022,116240236,09.06.2023,,,A,UESTC电子科技大学,"C12N 15/84
					






C12N 15/65
					






C12N 15/29
					






C12N 15/113
					






A01H 5/04
					






A01H 5/10
					






View more classifications
							






C12N 15/84
					






C12N 15/65
					






C12N 15/29
					






C12N 15/113
					






A01H 5/04
					






A01H 5/10
					






A01H 5/00
					






A01H 6/46
					






View less classifications","C12N 15/8261
					






C12N 15/8216
					






C12N 15/8209
					






C12N 15/8205
					






C07K 14/415
					








C12N 15/8261
					






C12N 15/8216
					






C12N 15/8209
					






C12N 15/8205
					






C07K 14/415
					






View less classifications",ZHANG YONG张勇ZHOU JIANPING周建平TANG XU唐旭ZHENG XUELIAN郑雪莲,成都极纬知识产权代理有限公司 51320成都极纬知识产权代理有限公司 51320,,(EN) Method for regulating and controlling rice plant type by using promoter for editing rice OsD18 gene(ZH) 一种编辑水稻OsD18基因的启动子调控水稻株型的方法,"(EN) The invention belongs to the technical field of plant biology, and particularly relates to a method for regulating and controlling a rice plant type by editing a promoter of a rice OsD18 gene. The technical problem to be solved by the invention is to provide a new choice for improving the rice plant type. According to the technical scheme, the method for regulating and controlling the rice plant type through the promoter for editing the rice OsD18 gene comprises the steps that s1, a Cas gene editing expression vector for expressing guide RNA of the promoter for editing the rice OsD18 gene is constructed; s2, transforming rice by using the expression vector obtained in the step s1, and obtaining a transformed plant by using a CRISPR-Cas gene editing system; and s3, collecting seeds of the transformed plant, and screening out gene editing mutant seeds to obtain the plant type improved gene editing rice.(ZH) 本发明属于植物生物技术领域，具体涉及一种编辑水稻OsD18基因的启动子调控水稻株型的方法。本发明要解决的技术问题是为改良水稻株型提供一种新选择。本发明的技术方案是一种编辑水稻OsD18基因的启动子调控水稻株型的方法，s1、构建表达编辑水稻OsD18基因的启动子的向导RNA的Cas基因编辑表达载体；s2、用步骤s1的得到的表达载体转化水稻，利用CRISPR‑Cas基因编辑体系得到转化植株；s3、收集转化植株的种子，筛选出基因编辑突变体种子，得到株型改良的基因编辑水稻。",,,,,,,,,,
CN370575930,202210295156,China,24.03.2022,114773442,22.07.2022,114773442,24.03.2023,B,"AGRICULTURAL GENOMICS INSTITUTE AT SHENZHEN, CHINESE ACADEMY OF AGRICULTURAL SCIENCES中国农业科学院农业基因组研究所","C07K 14/415
					






C12N 15/29
					






C12N 15/84
					






A01H 5/00
					






A01H 6/46
					






C12Q 1/6895
					






View more classifications
							






C07K 14/415
					






C12N 15/29
					






C12N 15/84
					






A01H 5/00
					






A01H 6/46
					






C12Q 1/6895
					






G01N 33/68
					






C12N 15/11
					






View less classifications","C07K 14/415
					






C12N 15/8218
					






C12N 15/8289
					






C12Q 1/6895
					






G01N 33/68
					






G01N 2333/415
					








C07K 14/415
					






C12N 15/8218
					






C12N 15/8289
					






C12Q 1/6895
					






G01N 33/68
					






G01N 2333/415
					






View less classifications",SHI CHUANLIN施传琳FEI QILI费启立,北京集佳知识产权代理有限公司 11227,,(EN) Rice male low-temperature thermo-sensitive sterile line created based on AGO1d gene editing and application of rice male low-temperature thermo-sensitive sterile line(ZH) 基于AGO1d基因编辑创建的水稻雄性低温温敏不育系及其应用,"(EN) The invention relates to the technical field of rice breeding, in particular to a rice male low-temperature thermo-sensitive sterile line created based on AGO1d gene editing and application of the rice male low-temperature thermo-sensitive sterile line. A rice AGO1d gene is knocked out through a CRISPR/Cas9 gene editing technology, it is found that the anther fertility of a mutant plant is lost at the low temperature of 22 DEG C or below but the pistil fertility is normal, and the anther fertility of the mutant plant is recovered to be normal at the temperature of 28-30 DEG C. A rice male thermo-sensitive sterile line plant can be obtained through the method and is used for two-line method cross breeding of rice. The previous two-line method hybrid seed production is realized by means of photosensitive sterility and high-temperature thermo-sensitive sterility, and the territorial scope of the hybrid seed production is limited by the sterile line. At present, low-temperature thermo-sensitive sterility is rarely reported, but the creation of the low-temperature thermo-sensitive sterile line disclosed by the invention not only expands the creation variety of the thermo-sensitive sterile line, but also expands the seed production territorial range of hybrid rice, so that the production and application of two-line hybrid rice are promoted.(ZH) 本发明涉及水稻育种技术领域，尤其涉及基于AGO1d基因编辑创建的水稻雄性低温温敏不育系及其应用。本发明通过CRISPR/Cas9基因编辑技术敲除水稻AGO1d基因，发现突变植株在22℃以下低温花药育性丧失但雌蕊育性正常，而在28℃～30℃花药育性恢复正常，通过该方法可获得水稻雄性温敏不育系植株，用于水稻两系法杂交育种。先前的两系法杂交制种分别借助于光敏不育和高温温敏不育，杂交制种的地域范围受到该不育系的限制。目前，对于低温温敏不育少有报道，而本发明低温温敏不育系的创建不仅扩展了温敏不育系的创建种类，而且拓展了杂交稻的制种地域范围，从而促进了两系法杂交稻的生产和应用。",,,,,,,,,,
CN442096617,202310404761,China,17.04.2023,118813633,22.10.2024,,,A,SHANGHAI JIAO TONG UNIVERSITY上海交通大学,"C12N 15/29
					






C07K 14/415
					






C12N 15/84
					






A01H 5/00
					






A01H 5/08
					






A01H 6/82
					








C12N 15/29
					






C07K 14/415
					






C12N 15/84
					






A01H 5/00
					






A01H 5/08
					






A01H 6/82
					






View less classifications","C07K 14/415
					






C12N 15/8261
					






C12N 15/8245
					






C12N 15/8218
					






C12N 15/8205
					








C07K 14/415
					






C12N 15/8261
					






C12N 15/8245
					






C12N 15/8218
					






C12N 15/8205
					






View less classifications",BAO YAN包岩WANG JIAOJIAO王娇娇LI YANJIE李艳洁NIU YUE牛越LIU YAO刘垚ZHANG QIAN张芊LYU YONGLUN吕永伦,上海科盛知识产权代理有限公司 31225,,(EN) Application of tomato SlCOST1 gene in creation of new tomato germplasm(ZH) 番茄SlCOST1基因在创制番茄新种质中的应用,"(EN) The invention relates to an application of a tomato SlCOST1 gene in creating a new tomato germplasm. According to the invention, the SlCOST1 gene (with a nucleotide sequence shown as SEQ ID NO.1) of the tomato is knocked out by virtue of a CRISPR/Cas9 technical means, so that the plant height of a plant is remarkably reduced, fruits are miniaturized, seeds are reduced, the fructose content is increased, and a new tomato dwarfing germplasm is obtained. Compared with the prior art, the new tomato germplasm which is short and small in plant type, small in fruit and higher in fructose concentration and sweetness has the advantages of being capable of effectively improving the planting density of tomatoes, fully utilizing the cultivation space, improving the lodging resistance and the like, has the characteristics of few seeds and high sugar of the fruits, is more beneficial to industrial processing, has important economic value, and is worthy of popularization and application. And a target screening gene is provided for molecular assisted breeding.(ZH) 本发明涉及番茄SlCOST1基因在创制番茄新种质中的应用。本发明通过CRISPR/Cas9技术手段敲除番茄的SlCOST1基因(具有SEQ ID NO.1所示的核苷酸序列)，极显著地降低植株株高，使果实小型化，少籽且增加果糖含量，获得新的番茄矮化种质。与现有技术相比，本发明所得株型矮小，且果实小型化具有更高果糖浓度及甜度的番茄新种质，具有能有效提高番茄的种植密度，充分利用栽培空间，提高抗倒伏能力等优点，且果实少籽和高糖的特性更利于工业加工，具有重要经济价值，也为分子辅助育种提供了目标筛选基因。",,,,,,,,,,
WO2017186550,PCT/EP2017/059331,,,WO/2017/186550,02.11.2017,,,,"BASF PLANT SCIENCE COMPANY GMBH
							[DE]/[DE]","C12N 9/22
					

2006.1
					



C12N 15/90
					

2006.1
					





C12N 9/22
					

2006.1
					



C12N 15/90
					

2006.1
					



View less classifications","C12N 15/102
					






C12N 15/11
					






C12N 15/111
					






C12N 15/113
					






C12N 15/70
					






C12N 15/75
					






View more classifications
							






C12N 15/102
					






C12N 15/11
					






C12N 15/111
					






C12N 15/113
					






C12N 15/70
					






C12N 15/75
					






C12N 15/81
					






C12N 15/8274
					






C12N 15/8509
					






C12N 15/902
					






C12N 15/905
					






C12N 15/907
					






C12N 2310/20
					






C12N 9/22
					






View less classifications","NEUTEBOOM, Leendert W
							


MCELVER, John A
							


DE PINHO BARROCO, Rosa
							


DE WILDE, Chris
							


FELLE, Max Fabian",BASF IP ASSOCIATION,,(EN) IMPROVED METHODS FOR MODIFICATION OF TARGET NUCLEIC ACIDS(FR) PROCÉDÉS AMÉLIORÉS DE MODIFICATION D'ACIDES NUCLÉIQUES CIBLES,"(EN) Methods for modification of target nucleic acids. The method involves a construct in which guide RNA is covalently linked to donor RNA (fusion NA) to be introduced into the target nucleic acid by homologous recombination and is based on the introduction of a nuclease, e.g. CRISPR or TALEN, into the cell containing the target nucleic acid. The fusion NA may be introduced as a DNA vector.(FR) La présente invention concerne des procédés de modification d'acides nucléiques cibles. Le procédé consiste en une construction dans laquelle un ARN de guidage est lié de manière covalente à un ARN donneur (AN de fusion) en vue d'être introduit dans l'acide nucléique cible par recombinaison homologue et il est basé sur l'introduction d'une nucléase, par exemple CRISPR ou TLEN, dans la cellule comportant l'acide nucléique cible. L'AN de fusion peut être introduit en tant que vecteur d'ADN.","16167773.7		29.04.2016		EP
16167774.5		29.04.2016		EP
17156018.8		14.02.2017		EP","AU2017256517

CN109072207

KR1020190002470

EP3448990

BR112018068934

KR1020230038804

US20190309290

JP2019514376

KR1020220032126

EP3868880

DK3448990

IL262409

CA3022475

MX2021009235

MX2018013256

CL2018003074

IN201827044973

IN202128045052

US20230024869

US20230049124

US20230107997

US20230183686

AU2022100157

AU2022100158

AU2022100159

AU2022100155

AU2022100170

JP2023018093",PCT/EP2017/059331,20.04.2017,English (en),English (en),"View all
							



AE, AG, AL, AM, AO, AT, AU, AZ, BA, BB, BG, BH, BN, BR, BW, BY, BZ, CA, CH, CL, CN, CO, CR, CU, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, ES, FI, GB, GD, GE, GH, GM, GT, HN, HR, HU, ID, IL, IN, IR, IS, JP, KE, KG, KH, KN, KP, KR, KW, KZ, LA, LC, LK, LR, LS, LU, LY, MA, MD, ME, MG, MK, MN, MW, MX, MY, MZ, NA, NG, NI, NO, NZ, OM, PA, PE, PG, PH, PL, PT, QA, RO, RS, RU, RW, SA, SC, SD, SE, SG, SK, SL, SM, ST, SV, SY, TH, TJ, TM, TN, TR, TT, TZ, UA, UG, US, UZ, VC, VN, ZA, ZM, ZWAfrican Regional Intellectual Property Organization (ARIPO) (BW, GH, GM, KE, LR, LS, MW, MZ, NA, RW, SD, SL, ST, SZ, TZ, UG, ZM, ZW)Eurasian Patent Organization (AM, AZ, BY, KG, KZ, RU, TJ, TM)European Patent Office (AL, AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LT, LU, LV, MC, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, TR)African Intellectual Property Organization (BF, BJ, CF, CG, CI, CM, GA, GN, GQ, GW, KM, ML, MR, NE, SN, TD, TG)


Hide all",,,
CN330061522,202110302807,China,22.03.2021,113046371,29.06.2021,,,A,"CHINA TOBACCO YUNNAN INDUSTRIAL CO., LTD.云南中烟工业有限责任公司","C12N 15/53
					






C12N 15/82
					






A01H 5/00
					






A01H 6/82
					






C12Q 1/6895
					








C12N 15/53
					






C12N 15/82
					






A01H 5/00
					






A01H 6/82
					






C12Q 1/6895
					






View less classifications","C12N 9/0065
					






C12N 15/8273
					






C12Y 111/01
					






C12Q 1/6895
					






C12Q 2600/13
					






C12Q 2600/158
					








C12N 9/0065
					






C12N 15/8273
					






C12Y 111/01
					






C12Q 1/6895
					






C12Q 2600/13
					






C12Q 2600/158
					






View less classifications",XU LI许力GAO QIAN高茜XU YONG许永ZENG WANLI曾婉俐JIANG JIARUI蒋佳芮LI XUEMEI李雪梅LI ZHENGFENG李正风XIANG HAIYING向海英LIU XIN刘欣YANG WENWU杨文武DENG LELE邓乐乐ZHANG JIANDUO张建铎,北京维澳专利代理有限公司 11252,,(EN) Tobacco peroxidase related gene and application thereof(ZH) 一种烟草过氧化物酶相关的基因及其应用,"(EN) The invention relates to a tobacco peroxidase related gene and application thereof. A nucleotide sequence is shown as SEQ ID NO. 1. According to the tobacco peroxidase related gene NtPOD7 provided by the invention, the NtPOD7 gene is knocked out by utilizing a CRISPR/Cas9 mediated gene editing technology to obtain a gene editing plant with reduced expression quantity under stress resistance, and fluorescent quantitative PCR (Polymerase Chain Reaction) shows that under normal conditions, the NtPOD7 gene expression quantity of the obtained gene editing plant is not obviously different from that of a control plant; however, under the conditions of drought stress and salt stress, the expression quantity of the NtPOD7 gene of the gene editing plant is obviously lower than that of the control plant, so that a genetic material and a theoretical basis are provided for tobacco peroxidase research and tobacco stress resistance research.(ZH) 本发明涉及一种烟草过氧化物酶相关的基因及应用，核苷酸序列如SEQ ID NO.1所示。本发明提供的烟草过氧化物酶相关的基因NtPOD7，利用CRISPR/Cas9介导的基因编辑技术敲除NtPOD7基因获得在抗逆胁迫下表达量降低的基因编辑植株，通过荧光定量PCR发现，在正常条件下，所获基因编辑植株的NtPOD7基因表达量与对照植株相比无明显差异；但在干旱胁迫、盐胁迫条件下，基因编辑植株的NtPOD7基因表达量明显低于对照植株，这为烟草过氧化物酶研究及烟草抗逆性研究提供遗传材料和理论依据。",,,,,,,,,,
EP214742583,16761120,European Patent Office,14.03.2016,3309255,18.04.2018,,,A4,INST GENETICS & DEVELOPMENTAL BIOLOGY CAS,"C12N 15/82
					






A01H 5/00
					








C12N 15/82
					






A01H 5/00
					






View less classifications","C12N 15/8283
					






C12N 2810/10
					






C12N 9/22
					






C12N 15/102
					






C12N 15/113
					






C12N 2310/20
					






View more classifications
							






C12N 15/8283
					






C12N 2810/10
					






C12N 9/22
					






C12N 15/102
					






C12N 15/113
					






C12N 2310/20
					






C12N 15/82
					






C12N 15/8213
					






View less classifications",GAO CAIXIAJI XIANGZHANG HUAWEI,,,(DE) VERFAHREN ZUR ERHÖHUNG DER RESISTENZ EINER PFLANZE GEGENÜBER EINEM INVADIERENDEN DNA-VIRUS(EN) METHOD FOR INCREASING ABILITY OF PLANT TO RESIST INVADING DNA VIRUS(FR) PROCÉDÉ D'AUGMENTATION DE LA CAPACITÉ D'UNE PLANTE À RÉSISTER À L'INVASION PAR LES VIRUS À ADN,"(EN) The present invention discloses a method for improving the ability to resist against an intrusive DNA virus of a plant. The present invention provides a method for making a plant with improved ability to resist against a DNA virus, specifically can comprising the following steps: 1) selecting a sequence comply with 5'-N X -NGG-3' or 5'-CCN-N X -3' from the genomic sequence of the DNA virus as the target sequence; designing a DNA sequence reverse-complementary to said target sequence; 2) constructing said DNA sequence to a vector for expressing CRISPR/Cas9 nuclease so as to obtain a recombinant vector capable of transcribing a guide RNA and expressing a Cas9 protein; the crRNA in said guide RNA contains a RNA fragment transcribed from said DNA fragment; 3) introducing said recombinant vector into a recipient plant so as to obtain a plant with improved ability to resist against said DNA virus. The method of the invention merely depends on the genomic sequence of the virus, without the need of knowing specific functions of the viral genes. Therefore, the method can be widely used for resisting against various known double-stranded DNA virus or single-stranded virus with double-stranded DNA as an intermediate.(FR) La présente invention concerne un procédé d'augmentation de la capacité d'une plante à résister à un virus à ADN, ledit procédé comprenant les étapes suivantes : 1) sélection d'une séquence à partir de la séquence génomique d'un virus à ADN pour être une séquence cible, ladite séquence se conformant à une règle de configuration 5'-NX-NGG-3' ou 5'-CCN-NX-3', et la synthèse d'un fragment d'ADN qui est inversement complémentaire de la séquence cible; 2) construction du fragment d'ADN en un vecteur utilisé pour l'expression de la CRISPR/Cas9 nucléase, et obtention d'un vecteur recombinant capable de transcription d'un ARN guide et expression de la protéine Cas9; 3) introduction du vecteur recombinant dans une plante bénéficiaire. Le procédé de la présente invention peut être largement appliqué aux virus à ADN double brin et aux virus à ADN simple brin en utilisant l'ADN double brin comme intermédiaire, où les séquences des virus à ADN sont connues.",201510107492 12.03.2015 CN,"CN105969792

AR103927

AU2016228599

CA2979292

KR1020170126495

BR112017016423

US20180195084

EA201791991

JP2018507705

WO/2016/141893

IN201737029075

UAa201709464This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",,,,,"View all
							



AL, AT, BA, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, ME, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, TR
				

Hide all",,,
CN236154297,201711252952,China,01.12.2017,109112138,01.01.2019,109112138,08.12.2020,B,HUAZHONG AGRICULTURAL UNIVERSITY华中农业大学,"C12N 15/29
					






C07K 14/415
					






C12N 15/82
					








C12N 15/29
					






C07K 14/415
					






C12N 15/82
					






View less classifications","C07K 14/415
					






C12N 15/8261
					






Y02A 40/146
					








C07K 14/415
					






C12N 15/8261
					






Y02A 40/146
					






View less classifications",ZHAO YUNDE赵云德ZHANG TAO张涛WANG RONGCHEN王荣臣,武汉宇晨专利事务所 42001,,(EN) Gene OsVAS1 capable of regulating ideal plant type of rice(ZH) 一种调控水稻理想株型的基因OsVAS1,"(EN) The invention belongs to the technical field of plant genetic engineering, and specifically relates to a gene OsVAS1 capable of regulating the ideal plant type of rice. According to the present invention, the gene OsVAS1 simultaneously participating in rice auxin and ethylene synthesis pathways is cloned by using a candidate gene screening method, the plant type of rice can be improved and the yield can be increased through the site-directed mutation of the OsVAS1 gene by using a CRISPR technology, and biological function verification results prove the functions and the application ways of thegene; the nucleotide sequence of the gene OsVAS1 is represented by SEQ ID NO:1; the sequence of the protein encoded by the first transcript of the gene is represented by SEQ ID NO:3; and the sequenceof the protein encoded by the second transcript of the gene is represented by SEQ ID NO:5.(ZH) 本发明属于植物基因工程技术领域。具体涉及一种调控水稻理想株型的基因OsVAS1。本发明采用候选基因筛选的方法，克隆到同时参与水稻生长素和乙烯合成途径基因OsVAS1，发现利用CRISPR技术定点突变OsVAS1基因，可以改良水稻株型并增加产量，生物功能验证证实了该基因的功能及应用途径。本发明的调控水稻理想株型的基因OsVAS1的核苷酸序列如SEQ ID NO:1所示；该基因的第一转录本编码的蛋白质的序列如SEQ ID NO:3所示；该基因的第二转录本编码的蛋白质的序列如SEQ ID NO:5所示。",,,,,,,,,,
CN283958135,201911106925,China,13.11.2019,110747187,04.02.2020,110747187,21.10.2022,B,UNIVERSITY OF ELECTRONIC SCIENCE AND TECHNOLOGY OF CHINA电子科技大学,"C12N 9/22
					






C12N 15/55
					






C12N 15/84
					








C12N 9/22
					






C12N 15/55
					






C12N 15/84
					






View less classifications","C12N 9/22
					






C12N 15/8218
					






C12N 2800/22
					








C12N 9/22
					






C12N 15/8218
					






C12N 2800/22
					






View less classifications",ZHOU JIANPING周建平ZHANG YONG张勇ZHENG XUELIAN郑雪莲LIU SHISHI刘诗诗HE YAO何瑶TANG XU唐旭,成都泰合道知识产权代理有限公司 51231,,"(EN) Cas12a protein identifying TTTV and TTV PAM sites, plant genome orientated editing vector and method(ZH) 识别TTTV、TTV双PAM位点的Cas12a蛋白、植物基因组定向编辑载体及方法","(EN) The invention belongs to the field of gene engineering and relates to a Cas12a protein identifying TTTV and TTV PAM sites, a plant genome orientated editing vector and a plant genome editing method. The invention aims at establishing a novel CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats)-Cas12a plant genome orientated editing technology capable of efficiently identifying the TTTV and TTV PAM sites. The invention provides a Cas12a protein with nuclease and an encoding gene of the protein. The invention further provides a genome orientated editing vector and an editing method. The novel Cas12a protein has an ability of identifying the TTTV and TTV PAM sites. High editing efficiency is achieved at the TTTV PAM site and the TTV PAM site.(ZH) 本发明属于基因工程领域，涉及识别TTTV、TTV双PAM位点的Cas12a蛋白、植物基因组定向编辑载体及植物基因组编辑方法。本发明要解决的技术问题是建立能够高效识别TTTV和TTV双PAM位点的新的CRISPR‑Cas12a植物基因组定向编辑技术。本发明解决上述技术问题的技术手段是提供了一种新的具有核酸酶Cas12a蛋白以及该蛋白的编码基因。还提供了基因组定向编辑载体和编辑方法。本发明新Cas12a蛋白具有识别TTTV、TTV双PAM位点的能力。在TTTV PAM位点和TTV PAM位点都有高效的编辑效率。",,,,,,,,,,
CN407129781,202310726444,China,19.06.2023,116656696,29.08.2023,,,A,YANGTZE NORMAL UNIVERSITY长江师范学院,"C12N 15/29
					






C07K 14/415
					






C12N 15/84
					






A01H 5/02
					






A01H 6/82
					








C12N 15/29
					






C07K 14/415
					






C12N 15/84
					






A01H 5/02
					






A01H 6/82
					






View less classifications","C07K 14/415
					






C12N 15/827
					






C12N 15/8216
					






Y02A 40/146
					








C07K 14/415
					






C12N 15/827
					






C12N 15/8216
					






Y02A 40/146
					






View less classifications",DU LINA杜丽娜LAI BIAO赖彪HU WENJING胡文静LI LIN李林LIU DANDAN刘丹丹HU HONGCHUN胡红春,重庆博凯知识产权代理有限公司 50212,,(EN) Plant ferredoxin PhFd gene and application thereof(ZH) 一种植物铁氧还蛋白PhFd基因及其应用,"(EN) The invention discloses a plant ferredoxin PhFd gene and application thereof. The PhFd gene comprises a nucleotide sequence as shown in SEQ ID NO.1 in a sequence table; a CRISPR/Cas9 knockout vector of the plant ferredoxin PhFd gene is transferred into agrobacterium tumefaciens, and petunia hybrida is mediated and transformed by the agrobacterium tumefaciens to obtain a PhFd gene knockout plant so as to regulate the flowering phase of the petunia hybrida and delay senescence. Experiments prove that the PhFd has functions in the petunia petunia petal senescence process, and prove that the gene has a remarkable effect in delaying petunia petunia petal senescence.(ZH) 本发明公开一种植物铁氧还蛋白PhFd基因及其应用，所述PhFd基因包括如序列表SEQ ID NO.1所示的核苷酸序列；植物铁氧还蛋白PhFd基因的CRISPR/Cas9敲除载体转入农杆菌，通过农杆菌介导转化矮牵牛，得到了PhFd基因敲除植株，以调控矮牵牛花期延缓衰老。通过实验证明PhFd在矮牵牛花瓣衰老过程具有的功能，证明该基因在延缓矮牵牛花瓣衰老中具有显著的效果。",,,,,,,,,,
CN403550717,202310432666,China,17.04.2023,116463318,21.07.2023,,,A,"AGRICULTURAL GENOMICS INSTITUTE AT SHENZHEN, CHINESE ACADEMY OF AGRICULTURAL SCIENCES中国农业科学院农业基因组研究所","C12N 9/22
					






C12N 15/55
					






C12N 15/53
					






C12N 9/02
					






C12N 15/84
					








C12N 9/22
					






C12N 15/55
					






C12N 15/53
					






C12N 9/02
					






C12N 15/84
					






View less classifications","C12N 9/22
					






C12N 9/0071
					






C12N 15/8205
					






C12N 15/8216
					








C12N 9/22
					






C12N 9/0071
					






C12N 15/8205
					






C12N 15/8216
					






View less classifications",SHI CHUANLIN施传琳ZOU WENLI邹文莉SHANG LIANGUANG商连光,北京集佳知识产权代理有限公司 11227,,(EN) Plant RNA methylation and demethylation editing method and application thereof(ZH) 植物RNA甲基化和去甲基化编辑方法及其应用,"(EN) The invention relates to the technical field of plant gene editing, in particular to a plant RNA methylation and demethylation editing method and application thereof. On the basis of specific recognition of a CRISPR (clustered regularly interspaced short palindromic repeats)/LshCas13a system and in combination with the function of RNA (Ribonucleic Acid), a plant RNA methyltransferase complex core functional domain MTA-MTB is fused with dCas13a (deadCas13a) without cleavage activity, so that a dCas13a-MTA-MTB fused RNA methylation editing tool is obtained. RNA demethylase ALKBH5 is fused with dCas13a, so that a dCas13a-ALKBH5 fused RNA demethylation editing tool is obtained, and the tool can be used for carrying out m6A methylation and demethylation editing on a specific gene.(ZH) 本发明涉及植物基因编辑技术领域，植物RNA甲基化和去甲基化编辑方法及其应用。本发明基于CRISPR/LshCas13a系统特异性识别并结合RNA的功能，将植物RNA甲基转移酶复合体核心功能域MTA‑MTB与无切割活性的dCas13a(deadCas13a)融合，获得dCas13a‑MTA‑MTB融合的RNA甲基化编辑工具。将RNA去甲基化酶ALKBH5与dCas13a融合，获得dCas13a‑ALKBH5融合的RNA去甲基化编辑工具，该工具能够实现对特定基因进行m6A甲基化和去甲基化编辑。",,,,,,,,,,
