Application Id,Application Number,Office,Application Date_page,Grant Number,Grant Date,Applicants,Title_page,Priority Data,Related Patent Documents,International Application No.,International Filing Date,Application Date_list,Country,latitude,longitude,applicant_city_name,applicant_state_name,applicant_country_name,crop,Days Between Application and Grant,Granted,Application Year,Grant Year,Has Related Patent Documents,purpose
US313890885,16610372,United States of America,2018-05-03,,,Kws Saat Se & Co. Kgaa,"(EN) 
The present invention relates to the use of CRISPR/CasX systems in plants for genome engineering, and compositions used in such methods.",,,,,03.05.2018,United States,51.8149087,9.884365,Einbeck,Niedersachsen,Germany,Crop plants,,False,2018.0,,False,Gene Editing Systems Development
CN370196643,202210551831,China,2022-05-20,114752578.0,2024-01-16,Shandong University,"(EN) The invention discloses a corn naringenin methyltransferase gene ZmNOMT. The cDNA (complementary deoxyribonucleic acid) nucleotide sequence of the corn naringenin methyltransferase gene ZmNOMT is shown as SEQ ID No.1; the invention also discloses an application of improving the broad-spectrum disease resistance of plants and an application of improving the naringenin content by reducing the expression of the corn naringenin methyltransferase gene ZmNOMT. Experiments prove that through inoculation identification of pathogenic fungi of a ZmNOMT transgenic overexpression positive strain, it is found that the ZmNOMT overexpression positive strain shows a susceptible phenotype to various corn diseases, and it is proved that ZmNOMT is a new susceptible gene. Two target spots are designed for the ZmNOMT by further utilizing a CRISPR/CAS9 technology, gene editing is carried out on the ZmNOMT, and it is found that the naringenin content in a ZmNOMT editing strain is remarkably improved; the ZmNOMT edited strain is subjected to pathogenic bacterium inoculation identification, and the ZmNOMT edited strain shows broad-spectrum disease resistance to various corn fungal diseases. The invention provides a new gene, a new material and a new method for disease-resistant breeding of corn, and the application prospect is wide.(ZH) 本发明公开了一种玉米柚皮素甲基转移酶基因ZmNOMT，其cDNA核苷酸序列如SEQ IDNo.1所示；还公开了通过降低玉米柚皮素甲基转移酶基因ZmNOMT的表达以提高植物广谱抗病性的应用和提高柚皮素含量的应用。实验证实，通过对ZmNOMT转基因过表达阳性株系的病原真菌接种鉴定，发现ZmNOMT过表达阳性株系对多种玉米病害表现出感病表型，证明了ZmNOMT是一个新的感病基因。进一步利用CRISPR/CAS9技术，针对ZmNOMT设计两个靶点，对ZmNOMT进行基因编辑，发现ZmNOMT编辑株系中柚皮素含量显著提高；对ZmNOMT编辑株系进行病原菌接种鉴定，发现ZmNOMT编辑株系表现出对多种玉米真菌病害产生广谱抗病性。本发明为玉米的抗病育种提供了新基因、新材料和新方法，应用前景广阔。",,,,,,,36.64893,117.029014,Ji Nan Shi,Shan Dong Sheng,China,Corn/Maize,606.0,True,2022.0,2024.0,False,Disease Resistance
CN364577081,202210210202,China,2022-03-04,114540371.0,2023-10-17,Agricultural University In China,"(EN) The invention belongs to the technical field of plant engineering, and discloses application of a lettuce LsNRL4 gene in control of lettuce leaf green depth and leaf included angle characters. The nucleotide sequence of the gene is as shown in SEQ ID NO. 1. The result of knocking out the LsNRL4 gene from the lettuce with the dark green leaf-lobular included angle through the CRISPR-Cas9 technology shows that the LsNRL4 gene with the lost function can enable the receptor lettuce to be changed into the lettuce with the light green leaf-large leaf included angle. The LsNRL4 gene is transformed into the lettuce with the light green leaf-large leaf included angle through agrobacterium tumefaciens mediation, and the result shows that the LsNRL4 can enable the receptor lettuce to be changed into the lettuce with the dark green leaf-small leaf included angle. The cloning of the LsNRL4 gene opens up a new direction for researching chloroplast development, chlorophyll synthesis and leaf included angle regulation of plants, and also provides gene resources and theoretical guidance for variety breeding of lettuce.(ZH) 本发明属于植物工程技术领域，公开了莴苣LsNRL4基因在控制莴苣叶绿色深浅和叶夹角性状中的应用。所述基因的核苷酸序列如SEQ ID NO.1所示。通过CRISPR‑Cas9技术在“深绿叶‑小叶夹角”莴苣中敲除LsNRL4基因的结果表明，丢失功能的LsNRL4基因能够使受体莴苣变为“浅绿叶‑大叶夹角”。通过农杆菌介导转化LsNRL4基因到“浅绿叶‑大叶夹角”莴苣，其结果表明，LsNRL4能够使受体莴苣变为“深绿叶‑小叶夹角”。LsNRL4基因的克隆为研究植物的叶绿体发育、叶绿素合成和叶夹角调控开辟了新的方向，同时也为莴苣的品种选育提供了基因资源和理论指导。",,,,,,,30.475126,114.353035,Wu Han Shi,Hu Bei Sheng,China,Lettuce,592.0,True,2022.0,2023.0,False,Other Genetic Improvement for Crop Traits
CN369008391,202210261018,China,2022-03-16,114703216.0,2023-04-28,Huazhong Agricultural University,"(EN) The invention belongs to the technical field of plant engineering, and discloses application of a lettuce LsWOX3L gene in control of existence of lettuce thorns, and the nucleotide sequence of the gene is shown as SEQ ID NO.1. The invention also discloses a preparation method of the lettuce LsWOX3L gene. The result of knocking out the LsWOX3L gene from the lettuce with thorny stems and veins through a CRISPR-Cas9 technology shows that the LsWOX3L gene with lost functions can change the phenotype of the receptor lettuce to be thornless. Further analysis shows that an inactivated CACTA-like transposon exists in the stingless cultivated lettuce and is inserted into the first exon of the LsWOX3L gene, so that the gene loses the original function. Cloning of the LsWOX3L gene opens up a new direction for research on development regulation of hairy bodies of plants, and meanwhile gene resources and theoretical guidance are provided for variety breeding of lettuce.(ZH) 本发明属于植物工程技术领域，公开了莴苣LsWOX3L基因在控制莴苣刺有无性状中的应用，所述基因的核苷酸序列如SEQ ID NO.1所示。通过CRISPR‑Cas9技术在茎和叶脉均多刺的莴苣中敲除LsWOX3L基因的结果表明，丢失功能的LsWOX3L基因能够使受体莴苣表型变为无刺。进一步分析表明在无刺的栽培莴苣中存在一个失活的CACTA‑like的转座子插入到LsWOX3L基因的第一个外显子上使该基因丧失原有功能。LsWOX3L基因的克隆为研究植物的毛状体的发育调控开辟了新的方向，同时也为莴苣的品种选育提供了基因资源和理论指导。",,,,,,,30.475126,114.353035,Wu Han Shi,Hu Bei Sheng,China,Lettuce,408.0,True,2022.0,2023.0,False,Other Genetic Improvement for Crop Traits
CN431146990,202410476471,China,2024-04-19,,,Shenyang Agricultural University,"(EN) The invention belongs to the technical field of plant genetic engineering and molecular breeding, and particularly discloses application of a tomato gene S1CBL11 in enhancement of drought resistance of tomatoes, the tomato gene S1CBL11 is knocked out through a CRISPR/Cas9 gene editing technology, a Cas9 sequence can be removed from offspring, the problem that exogenous genes are introduced through a transgenic technology is avoided, and normal functions of other genes in the tomatoes cannot be affected. The homozygous mutant with knockout S1CBL11 is obtained, and a series of experiments prove that compared with a wild type, the S1CBL11 gene knockout mutant obtains higher drought resistance, does not interfere with growth and development of plants, and is an ideal drought-resistant germplasm resource.(ZH) 本发明属于植物基因工程和分子育种技术领域，具体公开了番茄基因SlCBL11在增强番茄抗旱性中的应用，通过CRISPR/Cas9基因编辑技术敲除番茄基因SlCBL11，能够在后代中去除Cas9序列，避免了转基因技术引入外源基因的问题，不会影响番茄内其余基因的正常功能。本发明获得了敲除SlCBL11的纯合突变体，通过一系列实验证明：与野生型相比，SlCBL11基因敲除突变体获得了更高的抗旱性，且不干扰植株的生长发育，是一种理想的抗旱种质资源。",,,,,,,41.821328,123.57225,Shen Yang Shi,Liao Ning Sheng,China,Tomatoes,,False,2024.0,,False,Drought Adaptation
CN437966401,202410991481,China,2024-07-23,118516399.0,2024-10-15,Beijing Ciic Biological Agricultural International Research Institute,"(EN) The invention relates to the field of genetic engineering breeding, and particularly discloses a novel corn salt-tolerant gene ZmGPAT2 and application thereof in regulation and control of plant salt tolerance, the ZmGPAT2 gene has a nucleotide sequence as shown in SEQ ID NO.1, and a protein coded by the ZmGPAT2 gene has an amino acid sequence as shown in SEQ ID NO.2. According to the invention, a ZmGPAT2 gene in corn is knocked out at a fixed point by virtue of a CRISPR/Cas9 gene editing technology, and two different mutation types of ZmGPAT2 gene knockout mutants Zmgpat2-1 and Zmgpat2-2 are created; under the treatment of 125mM NaCl, the salt tolerance of the mutant is reduced compared with that of a wild type, which indicates that the ZmGPAT2 gene can positively regulate the salt tolerance of corn. The invention lays a theoretical foundation for researching the physiological and molecular mechanism of the corn responding to salt stress, and provides a new gene resource for molecular design breeding and cultivation of excellent new germplasm of the salt-tolerant corn at the same time.(ZH) 本发明涉及基因工程育种领域，具体公开了玉米耐盐新基因ZmGPAT2及其在调控植物耐盐中的应用，ZmGPAT2基因如SEQ ID NO.1所示核苷酸序列，其编码的蛋白质如SEQ ID NO.2所示氨基酸序列。本发明通过CRISPR/Cas9基因编辑技术定点敲除玉米中ZmGPAT2基因，创制了两种不同突变类型的ZmGPAT2基因敲除突变体Zmgpat2‑1和Zmgpat2‑2；在125mM NaCl处理下突变体与野生型相比耐盐能力均降低，说明ZmGPAT2基因能够正调控玉米耐盐性。本发明为研究玉米响应盐胁迫的生理及分子机制奠定理论基础，同时为分子设计育种培育具有耐盐的玉米优异新种质提供了新的基因资源。",,,,,,,39.959662,116.327333,,北京市,China,Corn/Maize,84.0,True,2024.0,2024.0,False,Other Genetic Improvement for Crop Traits
CN192773193,201610807154,China,2016-09-07,106367435.0,2019-11-08,University Of Electronic Science And Technology Of China,"(EN) The invention belongs to the technical field of plant genetic engineering and specifically relates to a method for directionally knocking out miRNA (micro Ribonucleic Acid) of paddy rice. Aiming at solving the technical problems, a method and a detection means are provided for directionally modifying miRNA sites of plants. The invention discloses a method for obtaining miRNA mutants of the paddy rice; specific operation of the method comprises: knocking out single miRNA, knocking out a plurality of miRNAs or knocking out large fragments of the miRNA by adopting a CRISPR-Cas9 (Clustered Regularly Interspaced Short Palindromic Repeats- associated 9) method. The method provided by the invention is suitable for creation and screening of directionally knocking out the miRNA of the paddy rice.(ZH) 本发明属于植物基因工程技术领域，具体涉及一种水稻miRNA定向敲除的方法。本发明要解决的技术问题是为定向修饰植物miRNA位点提供方法和检测手段。本发明公开了获得水稻micoRNA突变体中的方法，具体操作如下：采用CRISPR‑Cas9方法敲除单个miRNA、敲除多个miRNAs或敲除miRNA的大片段。本发明方法适用于水稻miRNA定向敲除突变体的创制及筛选。",,,,,,,30.6624863,104.1021662,Cheng Du Shi,,China,Rice,1157.0,True,2016.0,2019.0,False,Gene Editing Systems Development
CN336186216,202110583896,China,2021-05-27,,,Huazhong Agricultural University,"(EN) The invention relates to the technical field of plant genetic engineering, and discloses a method for accurately and efficiently editing genes suitable for upland cotton. The nucleotide sequence of a vector is shown as SEQ ID NO: 2. According to the method for accurately and efficiently editing the genes suitable for the upland cotton, a pRGEB32-GhU6.7-NPT II vector containing a cotton endogenous promoter pGhU 6-7 is transformed, a replicon element in BeYDV is taken as the vector, an sgRNA sequence is constructed in a replication ring, a vector BeYDV-Cas9 with a gene editing function in the cotton is constructed, GhCLA is selected as a target gene to verify the application of the BeYDV-Cas9 in the cotton, one target is designed, a BeYDV-Cas9 gene editing system is imported into a cotton genome by utilizing agrobacterium-mediated genetic transformation, Sanger sequencing is carried out on transgenic plants, and the editing efficiency type of the method in a heterologous tetraploid cotton genome is detected, so that the problems that a traditional CRISPR-Cas9 system is powerless when gene editing is carried out on the upland cotton and no feasible and effective editing tool exists are effectively solved.(ZH) 本发明涉及植物基因工程技术领域，且公开了一种适用于陆地棉的基因精准高效编辑的方法，所述该载体的核苷酸序列如SEQ ID NO:2所示。该适用于陆地棉的基因精准高效编辑的方法，通过对含有棉花内源启动子pGhU6‑7的pRGEB32‑GhU6.7‑NPTⅡ载体进行改造，以BeYDV双生病毒中复制子元件为载体，将sgRNA序列构建在复制环内，构建了在棉花中具有基因编辑功能的载体BeYDV‑Cas9，选取GhCLA为目标基因验证BeYDV‑Cas9在棉花中的应用，并且设计1个靶标，利用农杆菌介导的遗传转化将BeYDV‑Cas9基因编辑系统导入棉花基因组，对转基因植株进行Sanger测序，检测本发明在异源四倍体棉花基因组中的编辑效率类型，从而有效的解决了传统的CRISPR‑Cas9系统在对陆地棉进行基因编辑时无能为力，且并无可行有效编辑工具的问题。",,,,,,,30.475126,114.353035,Wu Han Shi,Hu Bei Sheng,China,Cotton,,False,2021.0,,False,Other Genetic Improvement for Crop Traits
CN426079396,202410066965,China,2024-01-17,,,Shenyang Agricultural University,"(EN) The invention belongs to the technical field of biology, and particularly discloses application of NAC29 protein in regulation and control of rice sheath blight resistance, and an amino acid sequence and a coding gene sequence of the NAC29 protein are shown as SEQ ID NO.1 and SEQ ID NO.2 respectively. Compared with the prior art, the NAC29 overexpression transgenic plant NAC29-OX is obtained through an overexpression transgenic technology. And meanwhile, the coding gene of the NAC29 protein in the receptor rice is edited through CRISPR/Cas9 gene editing, so that NAC29 mutant transgenic plants nac29-11 and nac29-15 are obtained. Through sheath blight resistance identification, compared with wild type rice, NAC29-OX is more resistant to diseases, and NAC29 mutants nac29-11 and nac29-15 are more susceptible to diseases. The application proves that the NAC29 protein is related to the resistance of the rice to the sheath blight disease, overexpression of the NAC29 enhances the resistance of the rice to the sheath blight disease, the NAC29 protein can be used for creating new germplasm resistant to the rice sheath blight disease, and it is proved that the application has important significance on creation of germplasm resources resistant to the rice sheath blight disease and effective prevention and control of the sheath blight disease.(ZH) 本发明属于生物技术领域，具体公开了NAC29蛋白在调控水稻抗纹枯病中的应用，NAC29蛋白的氨基酸序列及其编码基因序列分别如SEQ ID NO.1和SEQ ID NO.2所示。与现有技术相比，本发明通过过表达转基因技术获得NAC29过表达转基因植株NAC29‑OX。同时通过CRISPR/Cas9基因编辑对受体水稻中的NAC29蛋白质的编码基因进行编辑，获得NAC29突变体转基因植株nac29‑11和nac29‑15。通过纹枯病抗性鉴定发现，与野生型水稻对照相比，NAC29‑OX更抗病，NAC29突变体nac29‑11和nac29‑15更感病。证实NAC29蛋白与水稻对纹枯病的抗性相关，NAC29过表达增强水稻对纹枯病的抗性，可用于创制水稻纹枯病抗性新种质，证实了本发明所述应用对水稻抗纹枯病种质资源创制和纹枯病的有效防控具有重要意义。",,,,,,,41.821328,123.57225,Shen Yang Shi,Liao Ning Sheng,China,Rice,,False,2024.0,,False,Disease Resistance
AU314749214,2019297209,Australia,2019-07-03,,,"Guangdong Sanjie Forage Biotechnology Co., Ltd",(EN) Method of obtaining multi-leaf alfalfa material by means of MsPALM1 artificial site-directed mutant,201810724563.3 04.07.2018 CN,"CN108949774

WO/2020/007332

CA3105397

EP3816292

US20210269816

US20210171973",,,03.07.2019,Australia,23.190879,113.549766,Guang Zhou Shi,Guang Dong Sheng,China,Alfalfa,,False,2019.0,,True,Other Genetic Improvement for Crop Traits
CN312690071,202010512914,China,2020-06-08,,,Hangzhou Normal University,(EN) Plant modification(ZH) 植物改造,,,,,,,30.289532,120.009886,Hang Zhou Shi,Zhe Jiang Sheng,China,Crop plants,,False,2020.0,,False,Gene Editing Systems Development
US231206597,15764217,United States of America,2016-09-28,,,"Institute Of Genetics And Developmental Biology, Chinese Academy Of Sciences","(EN) 
Cassettes comprising a YAO promoter operably linked to at least one nucleotide sequence encoding a nuclease, vectors comprising the same are provided. A system for altering a plant genome comprising a nucleotide sequence encoding a nuclease operably linked to a YAO promoter and a method to alter the target nucleic acid molecule by using the system are provided. Plants, progeny and seeds thereof having such altered target nucleic acid molecules are also provided.",,201510631450.5 29.09.2015 CN,,,28.09.2016,United States,38.115509,114.533286,Shi Jia Zhuang Shi,He Bei Sheng,China,Crop plants,,False,2016.0,,True,Gene Editing Systems Development
CN442609860,202411035507,China,2024-07-31,,,Zhejiang Academy Of Agricultural Sciences,(EN) Kit and method for detecting transgenic crops based on multiple RPA (recombinase polymerase amplification) and double CRISPR (clustered regularly interspaced short palindromic repeats) detection methods(ZH) 一种基于多重RPA和双CRISPR检测方法对转基因作物进行检测的试剂盒及方法,,,,,,,30.305626,120.195509,Hang Zhou Shi,Zhe Jiang Sheng,China,Crop plants,,False,2024.0,,False,Other Purpose
US319904287,16955937,United States of America,2018-12-21,,,Kws Saat Se & Co. Kgaa,"(EN) 
The present invention relates to the targeted regulation of gene expression and more specifically to synthetic transcription factors (STFs) comprising at least one highly target specific engineered recognition domain based on a CRISPR/Cpf1 system and further comprising at least one activation or silencing domain to modulate the expression of a gene of interest, preferably to modulate the transcription of a morphogenic gene of a eukaryote, in particular a plant. Further disclosed are methods using the STFs to enhance transformation frequencies, to optimize successful genome editing approaches, to provide haploid or double haploid organisms, and/or to provide compositions suitable for general transformation, but also for breeding purposes.",,,,,21.12.2018,United States,51.8149087,9.884365,Einbeck,Niedersachsen,Germany,Crop plants,,False,2018.0,,False,Other Genetic Improvement for Crop Traits
AU296614945,2018390965,Australia,2018-12-21,,,Kws Saat Se & Co. Kgaa,(EN) Cpf1 based transcription regulation systems in plants,"62/609,508 22.12.2017 US62/758,068 09.11.2018 US","CA3086619

WO/2019/122394

EP3728605

BR112020012327

CN112204147

US20210071189",,,21.12.2018,Australia,51.8149087,9.884365,Einbeck,Niedersachsen,Germany,Crop plants,,False,2018.0,,True,Gene Editing Systems Development
CN430590440,202410282927,China,2024-03-13,,,Tianjin University Of Science & Technology,(EN) Method for detecting transgenic crops based on CRISPR/Cas12b system and application thereof(ZH) 一种基于CRISPR/Cas12b系统检测转基因作物的方法及其应用,,,,,,,39.083961,117.708631,,Tian Jin Shi,China,Crop plants,,False,2024.0,,False,Other Purpose
US452612464,18558619,United States of America,2022-12-29,,,Northwest A&F University,"(EN) 
A method for improving wheat resistance to Fusarium head blight (FHB) by genome editing is provided, and further provided is use of TaCIPK14 protein or related biomaterial thereto in the regulation of plant resistance to FHB; the TaCIPK14 protein is TaCIPK14-4A protein (SEQ ID NO: 4), TaCIPK14-4B protein (SEQ ID NO: 5), and/or TaCIPK14-4D protein (SEQ ID NO: 6). TaCIPK14 knockout mutant plants are successfully obtained by simultaneously editing three alleles of TaCIPK14 in wheat using CRISPR-Cas9 gene editing technology. The TaCIPK14 knockout mutant shows resistance to inoculation with FHB pathogens, and the results of evaluation of major agronomic traits confirm that the TaCIPK14 knockout mutant reserves the major agronomic traits.",,202210674184.4 15.06.2022 CN,,,29.12.2022,United States,34.262298,108.073742,Xian Yang Shi,Shan Xi Sheng,China,Wheat,,False,2022.0,,True,Disease Resistance
CN341236369,202110775204,China,2021-07-08,,,"Institute Of Crop Science, Chinese Academy Of Agricultural Sciences","(EN) The invention discloses a method for improving the crop yield by regulating and controlling a wheat ARE1 gene through a CRISPR/Cas9 technology. The invention provides a method for preparing gene-edited wheat, and the method comprises the step of mutating a receptor wheat genome ARE1 gene to reduce the activity and/or abundance of ARE1 protein to obtain the gene-edited wheat, wherein the transgenic wheat has at least one of the following characteristics: (1) compared with that of the receptor wheat, the yield of the gene-edited wheat is increased; (2) compared with that of the receptor wheat, the aging of the gene edited wheat is delayed; and (3) compared with that of the receptor wheat, the nitrogen utilization rate of the gene edited wheat is improved. According to the embodiment of the invention, a CRISPR/Cas9 technology is utilized, a wheat nitrogen utilization efficiency related gene ARE1 gene is subjected to site-directed editing, and the wheat ARE1 gene is knocked out by causing frameshift mutation, so that a new generation of new wheat germplasm with the obviously improved yield is obtained.(ZH) 本发明公开了通过CRISPR/Cas9技术调控小麦ARE1基因提高作物产量的方法。本发明提供了一种制备基因编辑小麦的方法，包括使受体小麦基因组ARE1基因发生突变导致ARE1蛋白活性和/或丰度降低，获得所述基因编辑小麦，所述转基因小麦具有下述至少一种特性的：(1)与所述受体小麦相比，所述基因编辑小麦的产量提高；(2)与所述受体小麦相比，所述基因编辑小麦的衰老延缓；(3)与所述受体小麦相比，所述基因编辑小麦的氮素利用率提高。本发明实施例利用CRISPR/Cas9技术，定点编辑小麦氮素利用效率相关基因ARE1基因，通过造成移码突变，敲除了小麦ARE1基因，获得了产量明显提高的新一代小麦新种质。",,,,,,,39.9628214,116.3269465,,Bei Jing Shi,China,Wheat,,False,2021.0,,False,Yield Improvement
CN422799248,202311436002,China,2023-10-31,,,"Cangzhou Bohai New Area Yatai Biotechnology Co., Ltd.","(EN) The invention discloses a crop variety genotyping method and device compatible with multiple fluorescence signal platforms, and belongs to the technical field of bioinformatics analysis. Comprising the steps that an sgRNA sequence is designed, a CRISPR-Cas9 system is introduced to form a compound, according to the designed sgRNA sequence and the introduced CRISPR-Cas9 system, an appropriate sgRNA sequence can be designed according to a specific site of a target gene of a crop, and the appropriate sgRNA sequence is designed; sgRNA and Cas9 protein act together to form a compound, the compound is introduced into a target crop cell, a DNA fragment with a fluorescence label is designed and synthesized, and the DNA fragment is introduced into the target crop cell; the genotyping of the crop variety can be conveniently and accurately observed, and analysis is facilitated.(ZH) 本申请公开了一种兼容多荧光信号平台的农作物品种基因型分型方法及装置，属于生物信息学分析技术领域。包括设计sgRNA序列和引入CRISPR‑Cas9系统形成复合物，所述设计sgRNA序列和引入CRISPR‑Cas9系统可根据农作物目标基因的特定位点，设计合适的sgRNA序列，通过设计合适的sgRNA序列；sgRNA与Cas9蛋白共同作用，形成复合物导入到目标农作物细胞中，设计并合成带有荧光标记的DNA片段，并将其导入到目标农作物细胞中；便于准确观测农作物品种基因分型，便于进行分析。",,,,,,,38.33879,117.51983,Cangzhou,Hebei,China,Crop plants,,False,2023.0,,False,Gene Editing Systems Development
CN442642296,202411144945,China,2024-08-20,,,Jilin University吉林大学Jilin Academy Of Agricultural Sciences (Northeast Innovation Center Of China Agricultural Science And Technology)吉林省农业科学院（中国农业科技东北创新中心）,(EN) CRISPR/dCas9 protein combined Raman coding transgenic corn detection method(ZH) CRISPR/dCas9蛋白结合拉曼编码的转基因玉米检测方法,2024110960222 12.08.2024 CN,,,,,,43.957271,126.478751,Jilin City,Jilin,China,Corn/Maize,,False,2024.0,,False,Other Purpose
CN213851939,201711089533,China,2017-11-08,,,"Institute Of Crop Science, Chinese Academy Of Agricultural Sciences",(EN) CRISPR-mediated rapid and effective crop site-specific gene fragment or allele replacement method and system(ZH) 一种CRISPR介导快速有效的农作物定点基因片段或等位基因替换方法和体系,,,,,,,39.9628214,116.3269465,,Bei Jing Shi,China,Crop plants,,False,2017.0,,False,Gene Editing Systems Development
KR395700816,1020220123547,Republic of Korea,2022-09-28,,,서울대학교산학협력단Seoul National University R&Db Foundation,"(EN) METHOD FOR PRODUCING BRASSICA CROPS WITH DELAYED POD DEHISCENCE USING GENE EDITING, AND BRASSICA CROPS PRODUCED BY PRODUCTION METHOD(KO) 유전자 교정을 이용한 꼬투리 열개가 지연된 배추과 작물의 제조방법 및 상기 제조방법에 의해 제조된 배추과 작물",1020210130482 01.10.2021 KR,,,,28.09.2022,South Korea,37.4648267,126.9571988,,Seoul,South Korea,Cabbage,,False,2022.0,,False,Other Genetic Improvement for Crop Traits
CN317064580,202011007682,China,2020-09-23,112226493.0,2022-07-26,Zhejiang University,(EN) Method for visual semi-quantitative detection of NOS terminator of transgenic crop by CRISPR/Cas12a system(ZH) CRISPR/Cas12a体系可视化半定量检测转基因作物NOS终止子的方法,,,,,,,30.3086844,120.0864995,Hang Zhou Shi,Zhe Jiang Sheng,China,Crop plants,671.0,True,2020.0,2022.0,False,Other Genetic Improvement for Crop Traits
CN431391281,202410132792,China,2024-01-30,,,Henan University,(EN) Application of beet armyworm UGT33F24 gene as target in pest control(ZH) 甜菜夜蛾UGT33F24基因作为靶点在防治害虫中的应用,,,,,,,34.808921,114.369752,Kai Feng Shi,He Nan Sheng,China,"Corn, Wheat",,False,2024.0,,False,Other Genetic Improvement for Crop Traits
CN341344215,202111031355,China,2021-09-03,,,"Wuhan Yikang Gene Technology Co., Ltd.",(EN) CRISPR-Cas9 gene editing tool and editing method thereof(ZH) 一种CRISPR-Cas9基因编辑工具及其编辑方法,,,,,,,30.46455,114.121395,Wu Han Shi,Hu Bei Sheng,China,Wheat,,False,2021.0,,False,Gene Editing Systems Development
CN340516547,202110816684,China,2021-07-20,113549646.0,2023-06-13,"Institute Of Crop Science, Chinese Academy Of Agricultural Sciences","(EN) Pisum sativum CRISPR/Cas9 gene editing vector, pisum sativum CRISPR/Cas9 gene editing system and pisum sativum CRISPR/Cas9 gene editing method(ZH) 一种豌豆CRISPR/Cas9基因编辑载体、基因编辑系统及基因编辑方法",,,,,,,39.9628214,116.3269465,,Bei Jing Shi,China,Peas,693.0,True,2021.0,2023.0,False,Gene Editing Systems Development
CN313671942,202010984937,China,2020-09-17,,,"Institute Of Economic Crop, Hubei Academy Of Agricultural Science",(EN) Establishment method and application of CRISPR/Cas9 gene editing system(ZH) 一种CRISPR/Cas9基因编辑体系的建立方法及其应用,,,,,,,30.482055,114.327143,Wu Han Shi,Hu Bei Sheng,China,Mulberry,,False,2020.0,,False,Gene Editing Systems Development
CN323582956,202011581248,China,2020-12-28,112708633.0,2022-07-12,"Institute Of Crop Science, Chinese Academy Of Agricultural Sciences",(EN) CRISPR-Cas9 gene editing system containing corn seed fluorescence reporter group and application of CRISPR-Cas9 gene editing system(ZH) 含有玉米种子荧光报告基团的CRISPR-Cas9基因编辑系统及应用,,,,,,,39.9628214,116.3269465,,Bei Jing Shi,China,Corn/Maize,561.0,True,2020.0,2022.0,False,Gene Editing Systems Development
CN427808614,202311734911,China,2023-12-15,,,Huazhong Agricultural University,(EN) Application of brassica napus BnaREM1.3 gene and encoding protein thereof in regulation and control of drought resistance of crops(ZH) 油菜BnaREM1.3基因及其编码蛋白在调控作物抗旱性中的应用,,,,,,,30.475126,114.353035,Wu Han Shi,Hu Bei Sheng,China,Crop plants,,False,2023.0,,False,Drought Adaptation
CN305440777,202010439225,China,2020-05-22,111575319.0,2022-04-08,Guangdong Academy Of Agricultural Sciences-Agricultural Biological Gene Research Center,(EN) Efficient clustered regularly interspaced short palindromic repeats ribonucleoprotein (CRISPR RNP) and donor DNA co-location mediated gene insertion or replacement method and application thereof(ZH) 一种高效的CRISPR RNP和供体DNA共位介导的基因插入或替换方法及其应用,,,,,,,23.145448,113.353943,Guang Zhou Shi,Guang Dong Sheng,China,Crop plants,686.0,True,2020.0,2022.0,False,Gene Editing Systems Development
CN396204737,202211429022,China,2022-11-15,,,Zhejiang University Hangzhou International Science And Technology Innovation Center,(EN) Gene sequence detection method(ZH) 一种基因序列检测方法,,,,,,,30.2049443,120.2573322,Hang Zhou Shi,Zhe Jiang Sheng,China,Crop plants,,False,2022.0,,False,Other Genetic Improvement for Crop Traits
CN361401421,202210079554.X,China,2022-01-24,114438122.0,2023-11-24,Agricultural University In China,(EN) Application of rape cinnamyl-CoA reductase gene BnaCCR-LIKE in regulation and control of oil content of crops(ZH) 油菜类肉桂酰-CoA还原酶基因BnaCCR-LIKE在调控作物含油量中的应用,,,,,24.01.2022,China,30.475126,114.353035,Wu Han Shi,Hu Bei Sheng,China,Canola,669.0,True,2022.0,2023.0,False,Yield Improvement
CN343798396,202110997209.X,China,2021-08-27,113684314.0,2022-10-28,"Institute Of Crop Science, Chinese Academy Of Agricultural Sciences",(EN) Kit for detecting RBSDV based on CRISPR-Cas system and detection method(ZH) 一种基于CRISPR-Cas系统检测RBSDV病毒的试剂盒及检测方法,,,,,27.08.2021,China,39.9628214,116.3269465,,Bei Jing Shi,China,Rice,427.0,True,2021.0,2022.0,False,Disease Resistance
